UserId,WorkerId,Worker's Profession,Worker's city,Ratings
15,31696,Craftsman,California,3.5
22,31696,Craftsman,California,4
72,31696,Craftsman,California,3
73,31696,Craftsman,California,3
84,31696,Craftsman,California,4
165,31696,Craftsman,California,2.5
205,31696,Craftsman,California,4.5
213,31696,Craftsman,California,3.5
244,31696,Craftsman,California,1.5
250,31696,Craftsman,California,4.5
270,31696,Craftsman,California,3.5
273,31696,Craftsman,California,4
294,31696,Craftsman,California,4
355,31696,Craftsman,California,3
380,31696,Craftsman,California,3
384,31696,Craftsman,California,2
402,31696,Craftsman,California,3.5
426,31696,Craftsman,California,4.5
457,31696,Craftsman,California,2
475,31696,Craftsman,California,3
547,31696,Craftsman,California,0.5
572,31696,Craftsman,California,3.5
607,31696,Craftsman,California,3.5
615,31696,Craftsman,California,3.5
664,31696,Craftsman,California,3.5
452,31700,Labourer,California,2.5
165,31724,Electrician,California,1
468,31737,Tutor,California,3
547,31737,Tutor,California,3.5
547,31747,Tutor,California,0.5
468,31770,Tutor,California,3
346,31804,Tutor,California,3.5
17,31878,Tutor,California,3
26,31878,Tutor,California,4
48,31878,Tutor,California,3
73,31878,Tutor,California,3.5
77,31878,Tutor,California,3.5
157,31878,Tutor,California,3.5
159,31878,Tutor,California,1.5
283,31878,Tutor,California,4.5
313,31878,Tutor,California,3
346,31878,Tutor,California,5
353,31878,Tutor,California,3
380,31878,Tutor,California,4.5
423,31878,Tutor,California,4.5
427,31878,Tutor,California,4.5
561,31878,Tutor,California,4
574,31878,Tutor,California,3
580,31878,Tutor,California,4
648,31878,Tutor,California,3.5
664,31878,Tutor,California,4
418,31903,Tutor,California,5
394,31921,Tutor,California,4
309,31923,Tutor,California,4
529,31923,Tutor,California,4
81,31930,Tutor,California,4
17,31952,Tutor,California,4.5
262,31952,Tutor,California,4
501,31952,Tutor,California,2.5
255,31956,Tutor,California,2.5
547,31963,Tutor,California,3.5
481,31973,Tutor,California,5
213,32017,Tutor,California,2.5
384,32017,Tutor,California,3.5
353,32019,Tutor,California,3.5
596,32019,Tutor,California,1
624,32019,Tutor,California,2
547,32022,Tutor,California,3
427,32025,Plumber,California,4
213,32029,Craftsman,California,3
313,32029,Craftsman,California,3.5
353,32029,Craftsman,California,3.5
367,32029,Craftsman,California,3
371,32029,Craftsman,California,5
452,32029,Craftsman,California,2
570,32029,Craftsman,California,4
596,32029,Craftsman,California,3.5
664,32029,Craftsman,California,3.5
48,32031,Painter,California,3
79,32031,Painter,California,3.5
205,32031,Painter,California,3
213,32031,Painter,California,3.5
250,32031,Painter,California,4
283,32031,Painter,California,3.5
287,32031,Painter,California,4
328,32031,Painter,California,3.5
384,32031,Painter,California,3
468,32031,Painter,California,2.5
501,32031,Painter,California,2.5
580,32031,Painter,California,3
624,32031,Painter,California,3.5
157,32078,Tutor,California,3
311,32139,Driver,California,4
581,32153,Cook,California,0.5
468,32160,Labourer,California,3.5
283,32170,Technician,California,1.5
212,32174,Electrician,California,2
547,32203,Labourer,California,4
262,32211,Labourer,California,3.5
529,32234,Tutor,California,4.5
547,32234,Tutor,California,4
394,32280,Carpenter,California,0.5
468,32280,Carpenter,California,3.5
382,32289,Cook,California,5
624,32291,Painter,California,2.5
205,32296,Craftsman,California,3
213,32296,Craftsman,California,2
294,32296,Craftsman,California,4
311,32296,Craftsman,California,2
452,32296,Craftsman,California,0.5
475,32296,Craftsman,California,1.5
388,32298,Cook,California,3.5
295,32302,Carpenter,California,2
547,32349,Tutor,California,3
73,32352,Carpenter,California,3
452,32369,Technician,California,3
547,32369,Technician,California,4
468,32371,Electrician,California,3
547,32371,Electrician,California,4
294,32381,Electrician,California,4
73,32387,Cook,California,4
580,32395,Painter,California,3
481,32444,Craftsman,California,4
547,32444,Craftsman,California,2.5
352,32456,Electrician,California,3
298,32460,Technician,California,5
394,32464,Carpenter,California,3
20,32469,Painter,California,4
299,32515,Craftsman,California,5
96,32525,Electrician,California,5
587,32525,Electrician,California,5
48,32554,Electrician,California,3
298,32554,Electrician,California,5
48,32562,Technician,California,4
